subjectate,subject,relation,object
1762-08-12,571,1,569
1763-01-11,571,12,409
1756-04-30,571,12,568
1760-11-26,578,12,55
1762-10-27,582,8,579
1762-01-18,593,1,95
1818-07-16,597,10,520
1747-08-08,598,125,231
1816-08-15,602,12,483
1816-12-05,605,1,475
1748-05-20,608,7,607
1762-08-12,614,12,36
1783,616,12,281
1783,616,12,282
1783,616,12,617
1783,616,12,297
1784-01-16,618,8,615
1756-04-30,619,12,281
1762-10-27,620,12,36
1762-01-18,621,12,36
